Non-Matching Entries:
Samaka: wIn/a__adj
SAmaka: wIn/a__adj
samakakRa: wIn/a__adj
samakAla: Karc/a__n
samAkalana: Gar/a__n
samakAlika: wIn/a__adj
samakAlIna: wIn/a__adj
samAkarRaNa: Gar/a__n
samakoNa: wIn/a__adj
samakRa: wIn/a__adj
sampanna: wIn/a__adj
samakRawA: loh/A__n
samAkula: anek/a__adj
samAKyAna: Karc/a__n
samAKyAwa: anek/a__adj
samAlaMbana: None
samAlaMbI: None
samAlaMbiwa: None
samalaMkqwa: anek/a__adj
samAliMgana: Gar/a__n
samAlocanA: kAl/A__n
samaMgala: anek/a__adj
samaMjana: Gar/a__n
samaMjasa: anek/a__adj
samAmnAya: Karc/a__n
samaMwa: wIn/a__adj
sAmaMwa: wIn/a__adj
sAmaMwavAxa: Gar/a__n
sAmaMwI: Axam/I__n
samaMwra: wIn/a__adj
samaMxara: Gar/a__n
Samana: Gar/a__n
sAmAna: rAw/a__n
sAmanA: kAl/A__n
samAnakAla: anek/a__adj
samAnakarma: Gar/a__n
samAnakarmaka: None
samAnakarwqka: wIn/a__adj
samAnAMwara: wIn/a__adj
samAnaruci: None
samAnArWa: wIn/a__adj
samAnArWaka: wIn/a__adj
samAnawA: kAl/A__n
samAnAXikaraNa: wIn/a__adj
sAmAnAXikaraNya: Gar/a__n
samAnayana: Karc/a__n
samanna: Karc/a__n
samanujFA: gudiy/A__n
samanujFAwa: anek/a__adj
samanukIrwana: Gar/a__n
samAnupAwa: Gar/a__n
samanvaya: rAw/a__n
samanveRaNa: Gar/a__n
samanviwa: anek/a__adj
sAmAnya: wIn/a__adj
sAmAnyajFAna: Gar/a__n
samApana: Gar/a__n
samApanIya: anek/a__adj
samApanna: anek/a__adj
samApwa: rAw/a__n
samApwi: Apawwi/__n
samApwika: anek/a__adj
samArabXa: anek/a__adj
samara: rAw/a__n
samarakarma: Gar/a__n
samAraMBa: Gar/a__n
samarAMgaNa: Gar/a__n
samArAXana: Karc/a__n
samarcana: Gar/a__n
samarociwa: anek/a__adj
samAroha: rAw/a__n
samArohaNa: Karc/a__n
samAropa: Gar/a__n
samaroxxeSa: Karc/a__n
samarpaNa: Gar/a__n
samarpiwa: wIn/a__adj
samaRti: Apawwi/__n
samArUDa: Karc/a__n
samarWa: rAw/a__n
samarWaka: rAw/a__n
samarWana: rAw/a__n
samarWanIya: anek/a__adj
samarWawA: loh/A__n
samarWiwa: wIn/a__adj
sAmarWya: Gar/a__n
samAsa: Gar/a__n
samAsakwa: anek/a__adj
samasixXAMwa: None
samASliRta: anek/a__adj
samASriwa: wIn/a__adj
samASvAsana: Gar/a__n
samaswa: wIn/a__adj
samasyA: kAl/A__n
samasyApUrwi: Apawwi/__n
samavApwi: SAnwi/__n
samAvarwana: Karc/a__n
samavaXAna: Karc/a__n
samavAya: rAw/a__n
sAmavAyika: wIn/a__adj
samAveSa: Gar/a__n
samAveSiwa: anek/a__adj
samavewa: wIn/a__adj
samavewana: Gar/a__n
samavexanA: kAl/A__n
samaviRama: Karc/a__n
samAviRta: anek/a__adj
samAvqwwa: wIn/a__adj
samavyaska: wIn/a__adj
SAmawa: rAw/a__n
samawA: kAl/A__n
samawala: wIn/a__adj
samawsuka: anek/a__adj
samAXAna: rAw/a__n
samAxara: rAw/a__n
samAxaraNIya: anek/a__adj
samaxarSana: anek/a__adj
samAxeSa: Gar/a__n
samAxeSayAcikA: None
samAxeya: anek/a__adj
samAXeya: anek/a__adj
samAXiBaMga: Gar/a__n
samaXigama: Karc/a__n
samaXigawa: anek/a__adj
samaXI: ladak/I__n
samAXiniRTa: wIn/a__adj
samAXisWa: wIn/a__adj
samaXIwa: anek/a__adj
samAXixaSA: gudiy/A__n
samaXiyAna: Karc/a__n
samaxviBAga: Gar/a__n
samayacyuwi: SAnwi/__n
samaya: rAw/a__n
samayaniRTa: wIn/a__adj
samayaxAna: Gar/a__n
samayaXarma: Gar/a__n
sAmayika: wIn/a__adj
sAmayikavArwA: None
sAmayikI: Axam/I__n
samAyojana: Gar/a__n
saMBAga: rAw/a__n
saMBagna: anek/a__adj
saMBakwa: anek/a__adj
saMbala: rAw/a__n
saMbaMXa: rAw/a__n
saMbaMXawawva: Gar/a__n
saMbaMXayiwA: None
saMbaMXI: ladak/I__n
sAMbaMXika: anek/a__adj
saMBAra: rAw/a__n
saMBARa: Gar/a__n
saMBaraNa: Gar/a__n
saMBARaNa: Gar/a__n
saMBaraNamaMwrI: None
saMBaraNaniXi: None
saMBARaNIya: anek/a__adj
saMBARiwa: anek/a__adj
saMBARya: anek/a__adj
SAMBava: anek/a__adj
saMBava: rAw/a__n
saMBAvana: wIn/a__adj
saMBAvanA: kAl/A__n
saMBavanIya: anek/a__adj
saMBAvanIya: anek/a__adj
saMBAviwa: wIn/a__adj
saMBAvya: wIn/a__adj
saMbAXa: anek/a__adj
saMbAXaka: None
saMbAXana: Gar/a__n
saMbaxXa: wIn/a__adj
saMbaxXIkaraNa: Gar/a__n
saMBexa: Gar/a__n
saMBexana: Gar/a__n
saMBexya: None
saMBinna: anek/a__adj
saMBIwa: anek/a__adj
saMBoga: Gar/a__n
saMBogakAya: Gar/a__n
saMBogakRama: None
saMBogya: anek/a__adj
saMBojya: anek/a__adj
saMBokwA: gudiy/A__n
saMboXa: Gar/a__n
saMboXana: Gar/a__n
saMboXiwa: wIn/a__adj
saMboXya: anek/a__adj
saMBrama: rAw/a__n
saMBrAMwa: wIn/a__adj
SaMBu: vAyu/__n
SaMbUka: Gar/a__n
saMBukwa: anek/a__adj
saMBUwa: wIn/a__adj
saMbuxXa: wIn/a__adj
saMbuxXi: Apawwi/__n
saMcAlaka: rAw/a__n
saMcalana: Gar/a__n
saMCanna: anek/a__adj
saMcAra: rAw/a__n
saMcAraka: wIn/a__adj
saMcaraNa: Gar/a__n
saMcAraNa: Gar/a__n
saMcArapaWa: Gar/a__n
saMcArasAXana: Gar/a__n
saMcAravyAXi: SAnwi/__n
saMcArikA: gudiy/A__n
saMcAriwa: anek/a__adj
saMCAxana: Gar/a__n
saMcaya: rAw/a__n
saMcayana: Gar/a__n
saMciwa: wIn/a__adj
saMciwakarma: Gar/a__n
saMciwakoRa: Gar/a__n
sAMda: rAw/a__n
saMdAsa: rAw/a__n
saMgahIwA: None
saMGa: rAw/a__n
saMgama: rAw/a__n
saMgamana: rAw/a__n
saMgamaramara: Gar/a__n
saMgaNanA: ASA/__n
saMgarahiwa: wIn/a__adj
saMGarRa: rAw/a__n
saMgasAWa: Gar/a__n
saMGatana: rAw/a__n
saMgaTana: rAw/a__n
saMgaTiwa: wIn/a__adj
saMGatiwa: anek/a__adj
saMgavicyuwi: None
saMgawa: rAw/a__n
saMGAwa: rAw/a__n
sAMGAwa: Gar/a__n
saMgawArWa: anek/a__adj
sAMgawika: anek/a__adj
sAMGAwika: anek/a__adj
saMgawyAga: Karc/a__n
saMgaxila: wIn/a__adj
saMgaxilI: Axam/I__n
saMgI: ladak/I__n
saMgIna: rAw/a__n
saMgIwa: Gar/a__n
saMGIya: wIn/a__adj
sAMgopAMga: wIn/a__adj
saMgqhIwa: anek/a__adj
saMgraha: rAw/a__n
saMgrahaNa: Gar/a__n
saMgrahaNIya: anek/a__adj
saMgrahAXyakRa: Gar/a__n
sAMgrahika: anek/a__adj
saMgrAhya: wIn/a__adj
saMgrAma: rAw/a__n
saMhanana: wIn/a__adj
saMhAra: rAw/a__n
saMhArakAla: Karc/a__n
saMharaNa: Karc/a__n
saMharRa: Karc/a__n
saMharRaNa: None
saMharRI: None
saMharRiwa: None
saMharwA: gudiy/A__n
saMhArya: anek/a__adj
saMhawabala: Gar/a__n
saMhawa: wIn/a__adj
saMhawakulIna: None
saMhiwa: wIn/a__adj
saMhiwA: kAl/A__n
saMhlAxa: Gar/a__n
saMhlAxana: None
saMhqRta: anek/a__adj
saMhqwa: anek/a__adj
samIcIna: anek/a__adj
samIcInawA: gudiy/A__n
sAmIcInya: None
SamIgarBa: Karc/a__n
samIhiwa: wIn/a__adj
Sami: Apawwi/__n
SamI: Axam/I__n
SamIkaraNa: Gar/a__n
samIkaraNa: rAw/a__n
samIkqwa: anek/a__adj
samIkRA: kAl/A__n
samIkRaka: rAw/a__n
samIkRaNa: Gar/a__n
SAmila: wIn/a__adj
SAmilAwa: Gar/a__n
samIpasWa: wIn/a__adj
samIpawA: kAl/A__n
Samipawra: None
sAmIpya: rAw/a__n
sAmiRa: wIn/a__adj
samIra: rAw/a__n
samiXA: kAl/A__n
samiXa: rAw/a__n
SamIXAna: Gar/a__n
SAmiyAnA: jyAx/A__adj
saMjAvana: Gar/a__n
saMjAwa: wIn/a__adj
saMjFA: kAl/A__n
saMjFaka: wIn/a__adj
saMjFAna: rAw/a__n
saMjFApana: Karc/a__n
saMjFapwa: anek/a__adj
saMjFAwa: anek/a__adj
saMjFiwa: anek/a__adj
saMjIvana: Karc/a__n
saMjIvanI: Axam/I__n
saMjIviwa: anek/a__adj
saMjIxA: kAl/A__adj
SaMkA: kAl/A__n
SaMKa: rAw/a__n
SaMkAjanaka: anek/a__adj
SaMKakRIra: None
SaMKakusuma: None
saMkaliwa: anek/a__adj
saMkalpa: rAw/a__n
saMkalpanA: kAl/A__n
saMkalpiwa: anek/a__adj
SaMkAnivAraNa: Gar/a__n
SaMkanIya: anek/a__adj
SaMKapuRpikA: gudiy/A__n
saMkara: rAw/a__n
SaMkara: rAw/a__n
SAMkara: Gar/a__n
SaMkarajatA: gudiy/A__n
saMkarajAwa: anek/a__adj
SaMkarI: Axam/I__n
SAMkarI: Axam/I__n
saMkarRaNa: Gar/a__n
sAMkarya: Gar/a__n
SaMkAsamAXAna: Gar/a__n
SaMkASIla: wIn/a__adj
SaMKaSukwikA: loh/A__n
saMkatacawurWI: Axam/I__n
saMkata: rAw/a__n
saMkatamocana: Gar/a__n
saMkatanASana: anek/a__adj
saMkatApanna: wIn/a__adj
saMkaWA: gudiy/A__n
SaMkaWiwa: None
SaMKaXara: Karc/a__n
SaMKaxrAva: Karc/a__n
saMkAyAXyakRa: Gar/a__n
saMkewa: rAw/a__n
saMkewaka: rAw/a__n
saMkewana: Gar/a__n
sAMkewikaBARA: gudiy/A__n
sAMkewika: anek/a__adj
saMkewiwa: wIn/a__adj
SaMKinI: Axam/I__n
saMkIrNa: wIn/a__adj
saMkIrNajAwi: SAnwi/__n
saMkIrNawA: ASA/__n
saMkIrNayuxXa: Gar/a__n
saMkIrwana: Gar/a__n
saMkIrwiwa: anek/a__adj
SaMkiwa: wIn/a__adj
SaMkiwamanA: jyAx/A__adj
saMkleSana: Gar/a__n
saMkliRta: wIn/a__adj
saMkoca: rAw/a__n
saMkocaka: anek/a__adj
saMkocana: Gar/a__n
saMkocI: Axam/I__n
saMkociwa: Karc/a__n
saMkrama: rAw/a__n
saMkrAmaka: wIn/a__adj
saMkramaNa: rAw/a__n
saMkramaNakAla: Gar/a__n
saMkramaNanASaka: anek/a__adj
saMkramiwa: wIn/a__adj
saMkrAmiwa: wIn/a__adj
saMkrAMwa: wIn/a__adj
saMkRaraNa: Gar/a__n
saMkRepa: rAw/a__n
saMkRepaNa: Gar/a__n
saMkrIdana: Karc/a__n
saMkrIdiwa: None
saMkRipwa: Karc/a__n
saMkRipwi: Apawwi/__n
saMkRipwIkaraNa: Gar/a__n
saMkRoBa: Gar/a__n
saMkucana: rAw/a__n
saMkuciwa: wIn/a__adj
SaMku: qwu/__n
SaMkukarNa: anek/a__adj
saMkula: wIn/a__adj
SaMkulA: ladak/A__n
saMkulawA: ASA/__n
saMkuliwa: anek/a__adj
SaMkuwaru: None
sAMKya: wIn/a__adj
SAMKya: anek/a__adj
saMKyA: kAl/A__n
saMKyAka: wIn/a__adj
saMKyAvAcaka: wIn/a__adj
saMKyAwa: wIn/a__adj
saMKyAwIwa: wIn/a__adj
saMKyeya: wIn/a__adj
sAMKyikI: Axam/I__n
saMlagna: wIn/a__adj
saMlakRaNa: Gar/a__n
saMlakRiwa: anek/a__adj
saMlakRya: anek/a__adj
saMlApa: Gar/a__n
saMlApaka: Karc/a__n
saMlapana: Karc/a__n
saMlipwa: wIn/a__adj
sammaMwraNA: gudiy/A__n
sammaMwraNIya: None
sammAna: rAw/a__n
sammAnanIya: wIn/a__adj
sammArjaka: Gar/a__n
sammArjana: Karc/a__n
sammArjanI: Axam/I__n
sammArjiwa: anek/a__adj
sammawa: wIn/a__adj
sammelana: rAw/a__n
sammilana: Gar/a__n
sammiliwa: wIn/a__adj
sammiSraNa: Gar/a__n
sammiSriwa: anek/a__adj
sammoha: Gar/a__n
sammohaka: wIn/a__adj
sammohana: wIn/a__adj
sammohanavixyA: gudiy/A__n
sammohanI: Axam/I__n
sammohiwa: anek/a__adj
sammoxana: Gar/a__n
sammuKa: wIn/a__adj
sammuKIna: anek/a__adj
saMnyAsI: ladak/I__n
samosA: kAl/A__adj
sAmoxa: anek/a__adj
saMpakva: anek/a__adj
saMpanna: rAw/a__n
saMpannawA: ASA/__n
saMparka: rAw/a__n
saMpAwa: Gar/a__n
saMpawwi: Apawwi/__n
saMpaxA: kAl/A__n
saMpAxaka: rAw/a__n
saMpAxakIya: wIn/a__adj
saMpAxana: Gar/a__n
saMpAxiwa: anek/a__adj
saMperA: kAl/A__adj
saMpIda: Gar/a__n
saMpIdana: Gar/a__n
saMpIdiwa: wIn/a__adj
saMpoRiwa: anek/a__adj
saMpqkwa: wIn/a__adj
saMpqRta: anek/a__adj
saMpraBuwA: ASA/__n
saMprahAra: Gar/a__n
saMprahAsa: Gar/a__n
saMprajFAwa: anek/a__adj
saMprajFAwayogI: None
saMprajvaliwa: anek/a__adj
saMprakIrwiwa: anek/a__adj
saMpraNewA: None
saMprApwa: anek/a__adj
saMprApwavixya: None
saMprasAraNa: Karc/a__n
saMprasAxa: Karc/a__n
saMprasAxana: Gar/a__n
saMprasixXa: None
saMpraSna: Gar/a__n
saMpravqwwa: anek/a__adj
sAMprawika: anek/a__adj
saMprawipanna: anek/a__adj
saMprawIwa: anek/a__adj
saMprawyaya: rAw/a__n
saMpraxAna: Gar/a__n
saMpraxAnIya: None
saMpraxAya: rAw/a__n
saMpraxAyaprApwa: None
saMpraxAyavAxa: Gar/a__n
sAMpraxAyika: wIn/a__adj
sAMpraxAyikawA: gudiy/A__n
saMprayoga: Gar/a__n
saMprayogI: None
saMprayojana: Gar/a__n
saMprayojiwa: anek/a__adj
saMprayukwa: anek/a__adj
saMprekRaNa: Gar/a__n
saMpreRaka: wIn/a__adj
saMpreRaNa: Gar/a__n
saMprokRaNa: Karc/a__n
saMpUjana: Gar/a__n
saMpUjya: anek/a__adj
saMpUraka: wIn/a__adj
saMpUraNa: Gar/a__n
saMpUrNa: wIn/a__adj
saMputa: Gar/a__n
saMputaka: Gar/a__n
samqxXa: wIn/a__adj
samqxXi: Apawwi/__n
samqxXikAma: anek/a__adj
samqxXikaraNa: Gar/a__n
saMracanA: kAl/A__n
sAmrAjya: Gar/a__n
sAmrAjyalakRmI: Axam/I__n
sAmrAjyavAxa: Gar/a__n
saMrakRaNa: Gar/a__n
saMrakRaNIya: anek/a__adj
saMrakRiwa: wIn/a__adj
saMrakRiwarAjya: None
saMrakRiwavya: None
saMrakRya: anek/a__adj
saMrAXana: Karc/a__n
saMrAXya: anek/a__adj
saMrohaNa: Gar/a__n
saMropaNa: Gar/a__n
saMropiwa: anek/a__adj
saMropya: anek/a__adj
saMroXa: Gar/a__n
saMroXana: Gar/a__n
saMroXanIya: None
saMroXya: anek/a__adj
saMruxXaceRta: None
saMruxXa: anek/a__adj
saMruxXaprajanana: None
saMSabxa: Gar/a__n
saMSabxana: Karc/a__n
SaMsA: kAl/A__n
saMsakwacewA: None
saMsakwa: wIn/a__adj
SaMsana: Gar/a__n
saMsAracakra: Gar/a__n
saMsAragamana: Gar/a__n
saMsAra: rAw/a__n
saMsAramokRa: Gar/a__n
saMsAramokRaNa: Gar/a__n
saMsArapaxavI: Axam/I__n
saMsArasaMga: None
saMsAravarjiwa: None
saMsArayAwrA: gudiy/A__n
saMsarga: Gar/a__n
sAMsargika: anek/a__adj
saMsArI: ajAwI/__adj
sAMsArika: wIn/a__adj
saMsaxa: rAw/a__n
sAMsaxa: rAw/a__n
saMsAXaka: wIn/a__adj
saMsAXana: rAw/a__n
saMsAXanIya: anek/a__adj
saMsAxiwa: anek/a__adj
saMsAXya: anek/a__adj
saMSaya: Gar/a__n
saMSayAlu: qwu/__n
saMSayApanna: anek/a__adj
saMSayAvaha: anek/a__adj
saMSayavAxa: Gar/a__n
saMSayAwmA: gudiy/A__n
saMSayAwmaka: wIn/a__adj
saMsecana: Gar/a__n
saMsevana: Gar/a__n
saMseviwa: anek/a__adj
saMSiwa: wIn/a__adj
saMsixXa: wIn/a__adj
sAMsixXika: anek/a__adj
saMskArahIna: wIn/a__adj
saMskAra: rAw/a__n
saMskAraka: wIn/a__adj
saMskaraNa: rAw/a__n
saMskArarahiwa: anek/a__adj
saMskArasaMpanna: anek/a__adj
saMskAravAn: None
sAMskArika: wIn/a__adj
saMskarwavya: anek/a__adj
saMskqwa: Gar/a__n
sAMskqwika: wIn/a__adj
saMSleRaNa: Gar/a__n
saMSleRiwa: anek/a__adj
saMSliRta: wIn/a__adj
saMsmaraNa: rAw/a__n
saMsmaraNIya: wIn/a__adj
saMSoXaka: wIn/a__adj
saMSoXana: rAw/a__n
saMSoXanIya: anek/a__adj
saMSoXiwa: anek/a__adj
saMSoXya: anek/a__adj
saMsparSa: Gar/a__n
saMsparSana: Karc/a__n
saMsqRtaBAva: None
saMsqRta: wIn/a__adj
saMsqRtakarmA: None
saMsqRtawA: gudiy/A__n
saMsqRti: Apawwi/__n
saMsqwi: Apawwi/__n
saMsrAva: Gar/a__n
saMSrAvaka: None
saMSravaNa: Karc/a__n
saMSrAvayiwA: None
saMsrAviwa: anek/a__adj
saMSrAviwa: anek/a__adj
saMSriwa: wIn/a__adj
saMsUcaka: wIn/a__adj
saMsUciwa: anek/a__adj
saMsUcya: anek/a__adj
saMSuxXa: anek/a__adj
saMsWAgAra: Gar/a__n
saMsWA: kAl/A__n
saMsWAna: rAw/a__n
saMsWApaka: rAw/a__n
saMsWApanA: kAl/A__n
saMsWApana: Gar/a__n
saMsWApanIya: anek/a__adj
saMsWApiwa: wIn/a__adj
saMsWApya: anek/a__adj
saMswaraNa: Gar/a__n
saMswavana: Karc/a__n
saMsWAXyakRa: Gar/a__n
saMsWiwa: anek/a__adj
saMswiWi: None
saMswuwa: anek/a__adj
samUcA: kAl/A__adj
samuccaya: rAw/a__n
samucCexa: Karc/a__n
samucCexana: Gar/a__n
samucCinna: anek/a__adj
samuciwa: Gar/a__n
samUha: rAw/a__n
samUhakArya: Karc/a__n
samUhana: wIn/a__adj
samUhavAxa: Gar/a__n
sAmUhika: wIn/a__adj
samUla: wIn/a__adj
samullAsa: Gar/a__n
samullasiwa: anek/a__adj
samulleKa: Gar/a__n
samunmIliwa: anek/a__adj
samunmUlana: Gar/a__n
samunnamana: None
samunnawa: wIn/a__adj
samunnayana: Karc/a__n
samunnIwa: None
samupaBoga: Gar/a__n
samupArjana: Gar/a__n
samupasWiwa: wIn/a__adj
samupasWiwi: SAnwi/__n
samupaveSana: Gar/a__n
samupayukwa: anek/a__adj
samupewa: anek/a__adj
samuwkaMTA: gudiy/A__n
samuwkaMtakiwa: None
samuwkarRa: Karc/a__n
samuwkIrNa: anek/a__adj
samuwWAna: Gar/a__n
samuwWiwa: anek/a__adj
samuxAyaGoRa: None
samuxAya: rAw/a__n
sAmuxAyika: wIn/a__adj
samuxboXana: Gar/a__n
samuxiwa: wIn/a__adj
samuxragamana: Gar/a__n
sAmuxra: wIn/a__adj
samuxra: rAw/a__n
samuxraJAga: Gar/a__n
samuxrakukRi: SAnwi/__n
sAmuxrika: wIn/a__adj
samuxrIya: anek/a__adj
samuxvega: Gar/a__n
samuxyama: Karc/a__n
saMvaha: Karc/a__n
saMvAha: Gar/a__n
saMvAhaka: Gar/a__n
saMvAhakawA: gudiy/A__n
saMvahana: Gar/a__n
saMvAhiwa: anek/a__adj
saMvAhya: anek/a__adj
saMvaliwa: anek/a__adj
saMvara: rAw/a__n
saMvaraNa: Gar/a__n
saMvaraNaSeRa: Gar/a__n
saMvaraNaSIla: anek/a__adj
saMvAraNIya: None
saMvaraNIya: Gar/a__n
saMvarga: Gar/a__n
saMvAriwa: anek/a__adj
saMvarjana: Gar/a__n
saMvarwa: Karc/a__n
saMvarwaka: wIn/a__adj
saMvarwana: Gar/a__n
saMvarwanIya: anek/a__adj
saMvarxXana: wIn/a__adj
saMvarxXanIya: anek/a__adj
saMvarxXiwa: anek/a__adj
saMvAsiwa: anek/a__adj
saMvaw: rAw/a__n
sAMvawsara: wIn/a__adj
saMvawsara: rAw/a__n
sAMvawsarika: wIn/a__adj
saMvawsarIya: anek/a__adj
saMvAxa: rAw/a__n
saMvAxana: Karc/a__n
saMvAxavilopana: None
sAMvAxika: anek/a__adj
saMvAxiwa: anek/a__adj
saMvexanA: kAl/A__n
saMvexana: Gar/a__n
saMvexanaSIla: wIn/a__adj
saMvexanaSIlawA: ASA/__n
saMvexanAvAxa: Gar/a__n
saMvEXAnika: wIn/a__adj
saMvexanIya: anek/a__adj
saMvexiwa: anek/a__adj
saMvexya: wIn/a__adj
saMvexyawA: loh/A__n
saMviBajana: Gar/a__n
saMviBAjana: Gar/a__n
saMviBakwa: anek/a__adj
saMviBAvya: anek/a__adj
saMvijFAwa: anek/a__adj
saMvIwa: anek/a__adj
saMvixA: kAl/A__n
saMviXAna: rAw/a__n
saMviXAnasaBA: gudiy/A__n
sAMviXika: anek/a__adj
saMvqwa: anek/a__adj
saMvqwakoRTa: None
saMvqwamaMwra: None
saMvqwwa: Karc/a__n
saMvqxXi: Apawwi/__n
saMvyavahAra: Gar/a__n
SAMwa: wIn/a__adj
saMwa: rAw/a__n
SAMwA: kAl/A__n
saMwAnagaNapawi: SAnwi/__n
saMwAnagopAla: Gar/a__n
saMwAna: rAw/a__n
saMwAnakarma: None
saMwAnakarwA: None
saMwAnanigraha: Gar/a__n
saMwAnavarXana: None
sAMwAnika: anek/a__adj
saMwApa: rAw/a__n
saMwapana: Karc/a__n
saMwApana: Karc/a__n
sAMwApika: None
saMwApiwa: wIn/a__adj
saMwapwa: wIn/a__adj
saMwarA: kAl/A__adj
saMwaraNa: anek/a__adj
saMwaraNaSIla: anek/a__adj
saMwarpaNa: Gar/a__n
saMwasamAgama: Gar/a__n
saMwasWAna: Karc/a__n
saMwawa: anek/a__adj
saMwawihoma: Gar/a__n
saMwawi: Apawwi/__n
saMwawiniyaMwraNa: None
saMwawipaWa: None
SAMwimaya: anek/a__adj
SAMwipriya: wIn/a__adj
SAMwipUrNa: anek/a__adj
saMwoRa: rAw/a__n
saMwoRajanaka: Karc/a__n
saMwrAsana: Karc/a__n
saMwrAsiwa: anek/a__adj
saMwraswa: wIn/a__adj
saMwulana: Gar/a__n
saMwuliwa: anek/a__adj
saMwuRta: Gar/a__n
saMwuRti: Apawwi/__n
sAMwvanA: gudiy/A__n
saMXa: rAw/a__n
saMxala: Gar/a__n
saMXAna: Gar/a__n
saMXAnakarwA: jyAx/A__adj
saMxarBa: rAw/a__n
saMxarBaviruxXa: anek/a__adj
saMxarBikA: gudiy/A__n
saMxeha: rAw/a__n
saMxehavAxa: Gar/a__n
saMxehAwmaka: anek/a__adj
saMxehaxAyI: None
saMxeSa: rAw/a__n
saMxeSA: kAl/A__adj
saMXiBaMga: Gar/a__n
saMxigXa: wIn/a__adj
saMxigXaleKya: None
saMxigXArWa: anek/a__adj
saMxigXawA: gudiy/A__n
saMxigXawva: Karc/a__n
saMXikuSala: anek/a__adj
saMXimukwa: anek/a__adj
saMxIpana: Karc/a__n
saMxIpiwa: anek/a__adj
saMxIpwa: anek/a__adj
saMxiRta: anek/a__adj
saMXivelA: gudiy/A__n
saMXivicCexa: Gar/a__n
saMXivigraha: Karc/a__n
saMXiwa: anek/a__adj
saMxqRta: anek/a__adj
sAMxqRtika: anek/a__adj
sAMxqRtikanyAya: None
saMxqSya: anek/a__adj
saMxURaNa: Gar/a__n
saMxURiwa: anek/a__adj
sAMXya: wIn/a__adj
saMXyA: kAl/A__n
saMXyAkAla: rAw/a__n
saMXyAkArya: None
saMXyAvaMxana: Gar/a__n
saMXyopAsana: Gar/a__n
samyagboXa: Karc/a__n
samyagvqwwi: None
sAmyA: kAl/A__n
sAmya: Gar/a__n
SAmya: Gar/a__n
samyakcAriwra: Karc/a__n
samyakpATa: None
samyakprahANa: None
samyakprayoga: Karc/a__n
samyaksamAXi: SAnwi/__n
samyaksWiwi: None
saMyama: rAw/a__n
saMyamana: rAw/a__n
saMyamiwa: anek/a__adj
saMyaMwra: rAw/a__n
saMyamya: anek/a__adj
sAmyAvasWA: ASA/__n
sAmyavAxa: Gar/a__n
saMyawAhAra: None
saMyAwa: anek/a__adj
saMyawa: Gar/a__n
sAmyawaMwra: Gar/a__n
saMyaweMxriya: anek/a__adj
saMyAwrA: gudiy/A__n
saMyoga: rAw/a__n
saMyoginI: Axam/I__n
saMyojana: rAw/a__n
saMyojiwa: wIn/a__adj
saMyojya: wIn/a__adj
saMyukwa: wIn/a__adj
samyukwa: Gar/a__n
saMyukwaleKA: None
saMyukwaparivAra: Gar/a__n
saMyukwarARtrasaMGa: Gar/a__n
saMyukwasarakAra: None
SAnagumAna: Gar/a__n
sana: rAw/a__n
SAna: rAw/a__n
SANa: Gar/a__n
sAna: xiK/a__v
SANAjIva: None
sanaka: rAw/a__n
sanakI: ladak/I__n
sAnaMxa: wIn/a__adj
sAnaMxASru: None
sanasanI: ladak/I__n
SAnaSOkawa: anek/a__adj
sanAWa: wIn/a__adj
sanAwana: wIn/a__adj
sanaxa: rAw/a__n
SAnaxAra: wIn/a__adj
Sanicakra: Karc/a__n
sanIcara: Gar/a__n
Sani: Apawwi/__n
san: None
SaniScara: Karc/a__n
SanivAra: Gar/a__n
SANiwa: anek/a__adj
sanmArga: Gar/a__n
sannAtA: kAl/A__adj
sannibaxXa: anek/a__adj
sannihiwa: wIn/a__adj
sannikarRa: Gar/a__n
sannikqRta: anek/a__adj
sannipAwa: rAw/a__n
sanniveSa: rAw/a__n
sanniviRta: anek/a__adj
sanniXAna: Gar/a__n
sAnniXya: rAw/a__n
sAnubaMXa: anek/a__adj
sAnuja: anek/a__adj
sAnukaMpa: anek/a__adj
sAnukUla: anek/a__adj
sAnukUlya: Gar/a__n
sAnunAsika: wIn/a__adj
sAnunaya: anek/a__adj
sAnvaya: anek/a__adj
SAnwiBaMga: Gar/a__n
SAnwi: Apawwi/__n
SAnwijala: Gar/a__n
SAnwikalaSa: Gar/a__n
SAnwikAma: anek/a__adj
SAnwinikewana: Gar/a__n
SAnwipraxa: anek/a__adj
SAnwivAcana: Gar/a__n
SAnwixAwA: jyAx/A__adj
sanyAsa: Gar/a__n
sanyAsI: ladak/I__n
sAPabAwa: None
SApagraswa: anek/a__adj
saPAI: ladak/I__n
sAPainakAra: Gar/a__n
sAPa: rAw/a__n
SApa: rAw/a__n
sAPA: kAl/A__adj
SAPA: kAl/A__adj
sAPajavAba: None
SApajvara: Gar/a__n
sapakRa: wIn/a__adj
saPala: rAw/a__n
saPalawA: kAl/A__n
saPalIkaraNa: Gar/a__n
sAPalya: Karc/a__n
SApamokRa: Gar/a__n
SApamukwa: anek/a__adj
sapanA: kAl/A__adj
SApanivqwwi: SAnwi/__n
SApapraxa: None
saPara: rAw/a__n
saParI: Axam/I__n
SApAswra: Gar/a__n
sapAta: wIn/a__adj
SApAvasAna: Gar/a__n
SapaWaBaMga: Gar/a__n
SapaWagrahaNa: Gar/a__n
sapawna: wIn/a__adj
sApawna: anek/a__adj
